the_geom,FECHA_DE_I,TIPO_DE_IN,CODIGO_ARB,ESPECIE,NOMBRE_COM,MUNICIPIO,COMUNA,BARRIO,DIRECCION,LATITUD,LONGITUD,ESTRATO
POINT (-75.5926068 6.22762547),2023 Jul 14 12:00:00 AM,Poda de Mantenimiento,116.050.000.528,Psidium guajava,"Guayabo, guayaba, guayaba común, guayaba dulce, guayaba manzana",Medellín,Belén,San Bernardo,Carrera 71A N 26 - 17.,"6,22762547","-75,5926068",3
POINT (-75.5613052 6.22761886),2023 Apr 21 12:00:00 AM,Poda de Mantenimiento,109.140.012.110,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,Buenos Aires,Asomadera No.1,Calle 30 N 31-93.,"6,22761886","-75,5613052",3
POINT (-75.5619397 6.22753036),2023 Feb 15 12:00:00 AM,Poda de Mantenimiento,109.140.012.001,Sterculia apetala,"Camajón, piñón, camajonduro, camajorú, camajurú, camajón duro",Medellín,Buenos Aires,Asomadera No.1,"Carrera 32A con Calle 29, zona verde Cancha la esmeralda Loreto","6,22753036","-75,5619397",3
POINT (-75.5777293 6.22740188),2023 Aug 01 12:00:00 AM,Poda de Mantenimiento,115.030.000.836,Pithecellobium dulce,"Chiminango, payandé, gallinero, acacia tunuda, azabache",Medellín,Guayabal,Trinidad,"Carrera 52 N 25-176, separador central, Avenida Guayabal.","6,22740188","-75,5777293",3
POINT (-75.5684607 6.22731921),2023 Jun 29 12:00:00 AM,Poda de Mantenimiento,110.200.010.798,Lagerstroemia speciosa,"Flor de reina, reina de las flores, astromelia, embrujo de la india, orgullo de la india, flor de la reina",Medellín,La Candelaria,San Diego,"Calle 29 N 41-98, atrás costado norte, en zona verde","6,22731921","-75,5684607",3
POINT (-75.5666508 6.22698584),2023 Jun 13 12:00:00 AM,Poda de Mantenimiento,110.200.010.829,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,La Candelaria,San Diego,"Carrera 41 N 28-10, parque punta de piedra","6,22698584","-75,5666508",3
POINT (-75.5671745 6.22696384),2023 Jun 13 12:00:00 AM,Poda de Mantenimiento,110.200.010.822,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,La Candelaria,San Diego,"Calle 29 N 28-38, Parque Punta Piedra.","6,22696384","-75,5671745",3
POINT (-75.5674608 6.22690051),2023 Jun 13 12:00:00 AM,Poda de Mantenimiento,110.200.010.820,Terminalia catappa,"Almendro, almendrón, almendra, almendrillo",Medellín,La Candelaria,San Diego,"Carrera 41 N 28-10, parque punta de piedra","6,22690051","-75,5674608",3
POINT (-75.6039624 6.22684283),2023 Nov 22 12:00:00 AM,Poda de Mantenimiento,116.140.000.404,Syzygium malaccense,"Pero de agua, pomarroso, pomarroso brasilero, pomarroso brasileño, pomarrosa del Brasil, pera de malaca",Medellín,Belén,La Palma,Frente a la dirección Calle 21 N 82A - 56 I.E. Ramón Giraldo Ceballos,"6,22684283","-75,6039624",3
POINT (-75.6040269 6.226674),2023 Nov 22 12:00:00 AM,Poda de Mantenimiento,116.140.000.775,Pithecellobium dulce,"Chiminango, payandé, gallinero, acacia tunuda, azabache",Medellín,Belén,La Palma,Calle 21 N 82A - 56 I.E. Ramón Giraldo Ceballos,"6,226674","-75,6040269",3
