the_geom,FECHA_DE_I,TIPO_DE_IN,CODIGO_ARB,ESPECIE,NOMBRE_COM,MUNICIPIO,COMUNA,BARRIO,DIRECCION,LATITUD,LONGITUD,ESTRATO
POINT (-75.5657218 6.31237011),2023 Jan 24 12:00:00 AM,Poda de Mantenimiento,105.030.541.014,Cojoba arborea,"Carbonero zorro, cojoba, dormilón",Medellín,Castilla,Florencia,calle 121 carrera 67B-17,"6,31237011","-75,5657218",3
POINT (-75.5536925 6.28429269),2023 Jan 16 12:00:00 AM,Poda de Mantenimiento,104.010.000.381,Terminalia catappa,"Almendro, almendrón, almendra, almendrillo",Medellín,Aranjuez,Berlin,Carrera 46 N 92-113,"6,28429269","-75,5536925",3
POINT (-75.5843763 6.25735766),2023 Oct 10 12:00:00 AM,Poda de Mantenimiento,111.020.320.062,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Laureles Estadio,Suramericana,Carrera 68 N 49B-19,"6,25735766","-75,5843763",3
POINT (-75.604877 6.2573572),2023 Oct 18 12:00:00 AM,Poda de Mantenimiento,112.060.000.446,Artocarpus altilis,"Arbol del pan, frutipan",Medellín,La América,Santa Lucía,Carrera 89 N 47B-08,"6,2573572","-75,604877",3
POINT (-75.5819829 6.25479727),2023 Nov 03 12:00:00 AM,Poda de Mantenimiento,111.020.000.675,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,Laureles Estadio,Suramericana,Carrera 65A N 48D-56,"6,25479727","-75,5819829",3
POINT (-75.5983787 6.2227723),2023 Sep 05 12:00:00 AM,Poda de Mantenimiento,116.120.280.128,Terminalia ivorensis,"Terminalia, almendro ovirensis",Medellín,Belén,La Gloria,"Calle 17A N 76A-04, Al frente","6,2227723","-75,5983787",3
POINT (-75.5983589 6.22277163),2023 Sep 05 12:00:00 AM,Poda de Mantenimiento,116.120.280.129,Terminalia ivorensis,"Terminalia, almendro ovirensis",Medellín,Belén,La Gloria,"Calle 17A N 76A-04, Al frente","6,22277163","-75,5983589",3
POINT (-75.5718296 6.21599555),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.020.268,Margaritaria nobilis,Ojo de paloma,Medellín,El Poblado,Villa Carlota,"Calle 14A N 43D-56, al frente","6,21599555","-75,5718296",3
POINT (-75.5716529 6.21599264),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.000.652,Diospyros virginiana,"Zapote negro, limpia dientes",Medellín,El Poblado,Villa Carlota,Carrera 43D N 14A-115,"6,21599264","-75,5716529",3
POINT (-75.5714423 6.21599164),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.000.650,Margaritaria nobilis,Ojo de paloma,Medellín,El Poblado,Villa Carlota,Carrera 43D N 14A-115,"6,21599164","-75,5714423",3
POINT (-75.5721549 6.30441106),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.040.000.005,Eucalyptus saligna,Eucalipto,Medellín,Doce de Octubre,Pedregal,Carrera 75A N 105-29,"6,30441106","-75,5721549",3
POINT (-75.5602361 6.30437478),2023 Nov 29 12:00:00 AM,Poda de Mantenimiento,105.010.000.783,Terminalia catappa,"Almendro, almendrón, almendra, almendrillo",Medellín,Castilla,Toscana,Calle 111D N 64A-78,"6,30437478","-75,5602361",3
POINT (-75.5651603 6.30437325),2023 Aug 15 12:00:00 AM,Poda de Mantenimiento,105.050.000.282,Eugenia myrtifolia,Eugenio,Medellín,Castilla,Boyacá,Calle 108 N 64D-73,"6,30437325","-75,5651603",3
POINT (-75.5641151 6.3114028),2023 Nov 21 12:00:00 AM,Poda de Mantenimiento,105.030.541.093,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,Castilla,Florencia,"Calle 119 N 65-00, perímetro del parqueadero de buses.","6,3114028","-75,5641151",3
POINT (-75.5663392 6.31032444),2023 Nov 24 12:00:00 AM,Poda de Mantenimiento,105.030.000.237,Spondias purpurea,"Ciruelo, cirgüelo, ciruela, ciruela calentana, ciruelo blanco",Medellín,Castilla,Florencia,Carrera 68A N 116-15.,"6,31032444","-75,5663392",3
POINT (-75.5665767 6.31000079),2023 Jun 02 12:00:00 AM,Poda de Mantenimiento,105.030.360.091,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,Castilla,Florencia,Calle 116 N 68A-20,"6,31000079","-75,5665767",3
POINT (-75.5613229 6.30950447),2023 Mar 24 12:00:00 AM,Poda de Mantenimiento,105.020.000.244,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,Castilla,Las Brisas,calle 115 64BB-39,"6,30950447","-75,5613229",3
POINT (-75.5672216 6.3088986),2023 Nov 24 12:00:00 AM,Poda de Mantenimiento,105.030.080.063,Handroanthus chrysanthus,"Guayacán amarillo, cañaguate, guayacán, chicalá, polvillo",Medellín,Castilla,Florencia,Calle 113 N 68A-70,"6,3088986","-75,5672216",3
POINT (-75.5639495 6.30883752),2023 Nov 01 12:00:00 AM,Poda de Mantenimiento,105.030.000.219,Cascabela thevetia,"Catape, Cobalongo",Medellín,Castilla,Florencia,Carrera 65 entre Calle 113 y Calle 114,"6,30883752","-75,5639495",3
POINT (-75.5644737 6.308624),2023 Oct 31 12:00:00 AM,Poda de Mantenimiento,105.030.680.241,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Castilla,Florencia,Parque de los abuelos Calle 113 y Calle 113A con Carrera 67,"6,308624","-75,5644737",3
POINT (-75.564431 6.3085935),2023 Oct 31 12:00:00 AM,Poda de Mantenimiento,105.030.680.292,Citrus limon,Limón,Medellín,Castilla,Florencia,Parque de los abuelos Calle 113 y Calle 113A con Carrera 67,"6,3085935","-75,564431",3
POINT (-75.5640773 6.30847715),2023 Oct 31 12:00:00 AM,Poda de Mantenimiento,105.030.680.231,Citrus x aurantium,"Mandarina, naranja",Medellín,Castilla,Florencia,Parque de los Abuelos entre Carrera 67 y Carrera 65 con Calle 113AA,"6,30847715","-75,5640773",3
POINT (-75.5642407 6.30846698),2023 Oct 31 12:00:00 AM,Poda de Mantenimiento,105.030.680.252,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Castilla,Florencia,Parque de los Abuelos entre Carrera 67 y Carrera 65 con Calle 113AA,"6,30846698","-75,5642407",3
POINT (-75.5714078 6.24472848),2023 Mar 28 12:00:00 AM,Poda de Mantenimiento,110.110.000.453,Syagrus romanzoffiana,"Palma reina, coco plumoso, palma de azúcar",Medellín,La Candelaria,Calle Nueva,Calle 44 N 51-55,"6,24472848","-75,5714078",3
POINT (-75.5641555 6.30842956),2023 Oct 31 12:00:00 AM,Poda de Mantenimiento,105.030.680.279,Pithecellobium dulce,"Chiminango, payandé, gallinero, acacia tunuda, azabache",Medellín,Castilla,Florencia,Parque de los Abuelos entre Carrera 67 y Carrera 65 con Calle 113AA,"6,30842956","-75,5641555",3
POINT (-75.581629 6.30841076),2023 Sep 11 12:00:00 AM,Poda de Mantenimiento,106.020.970.458,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,Doce de Octubre,Doce de Octubre No.1,Calle 106 N 82A-84D costado sur de la cancha de cemento El Progreso,"6,30841076","-75,581629",3
POINT (-75.5643835 6.30826788),2023 Oct 31 12:00:00 AM,Poda de Mantenimiento,105.030.000.230,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Castilla,Florencia,Parque de los Abuelos entre Carrera 67 y Carrera 65 con Calle 113,"6,30826788","-75,5643835",3
POINT (-75.5638438 6.30826109),2023 Nov 07 12:00:00 AM,Poda de Mantenimiento,105.020.000.248,Tabebuia rosea,"Apamate, guayacán rosado, ocobo, roble, guayacán, guayacán morado",Medellín,Castilla,Las Brisas,Carrera 65 entre Calle 113 y Calle 114,"6,30826109","-75,5638438",3
POINT (-75.5639683 6.30817943),2023 Nov 07 12:00:00 AM,Poda de Mantenimiento,105.050.000.315,Billia rosea,"Bilia, Cucharo",Medellín,Castilla,Boyacá,Zonas verdes entre Carrera 67 y Carrera 65 con Calle 112C,"6,30817943","-75,5639683",3
POINT (-75.563852 6.30806346),2023 Nov 07 12:00:00 AM,Poda de Mantenimiento,105.020.000.281,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,Castilla,Las Brisas,Carrera 65 entre Calle 113 y Calle 114,"6,30806346","-75,563852",3
POINT (-75.5644733 6.30801925),2023 Oct 31 12:00:00 AM,Poda de Mantenimiento,105.030.680.287,Eugenia uniflora,Guayabo grosello,Medellín,Castilla,Florencia,Parque de los Abuelos entre Carrera 67 y Carrera 65 con Calle 113AA,"6,30801925","-75,5644733",3
POINT (-75.5701661 6.30790007),2023 Nov 29 12:00:00 AM,Poda de Mantenimiento,105.040.360.117,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,Castilla,Tejelo,"Calle 110A N 74-01, al frente en el parque público.","6,30790007","-75,5701661",3
POINT (-75.5641047 6.3078128),2023 Oct 28 12:00:00 AM,Poda de Mantenimiento,105.050.000.300,Duranta erecta,"Ochuvo, duranta",Medellín,Castilla,Boyacá,"Carrera 65 N 112B-10, Frente a cancha en borde calzada","6,3078128","-75,5641047",3
POINT (-75.5641275 6.30780947),2023 Oct 28 12:00:00 AM,Poda de Mantenimiento,105.050.000.298,Duranta erecta,"Ochuvo, duranta",Medellín,Castilla,Boyacá,"Carrera 65 N 112B-10, Frente a cancha en borde calzada","6,30780947","-75,5641275",3
POINT (-75.5641431 6.30777761),2023 Oct 28 12:00:00 AM,Poda de Mantenimiento,105.050.270.294,Araucaria heterophylla,"Araucaria, Araucaria Real, pino de la isla de Norfolk",Medellín,Castilla,Boyacá,"Carrera 65 N 112B-10, pasando calzada en borde de cancha","6,30777761","-75,5641431",3
POINT (-75.5645743 6.30776448),2023 Oct 28 12:00:00 AM,Poda de Mantenimiento,105.050.000.291,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,Castilla,Boyacá,"Carrera 67 N 112B-07, en borde de calzada","6,30776448","-75,5645743",3
POINT (-75.5645077 6.30776375),2023 Oct 28 12:00:00 AM,Poda de Mantenimiento,105.050.000.234,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Castilla,Boyacá,Carrera 67 N 112B-07,"6,30776375","-75,5645077",3
POINT (-75.5643553 6.30763487),2023 Oct 28 12:00:00 AM,Poda de Mantenimiento,105.050.270.272,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,Castilla,Boyacá,"Calle 112B N 65A-03, al frente en zona verde","6,30763487","-75,5643553",3
POINT (-75.56406 6.307633),2023 Oct 28 12:00:00 AM,Poda de Mantenimiento,105.050.270.282,Pithecellobium dulce,"Chiminango, payandé, gallinero, acacia tunuda, azabache",Medellín,Castilla,Boyacá,"Carrera 65 N 112B-02, pasando calzada en borde de cancha","6,307633","-75,56406",3
POINT (-75.5649401 6.30743356),2023 Oct 30 12:00:00 AM,Poda de Mantenimiento,105.050.330.093,Handroanthus chrysanthus,"Guayacán amarillo, cañaguate, guayacán, chicalá, polvillo",Medellín,Castilla,Boyacá,"Carrera 66 N 112A-18, en borde de calle","6,30743356","-75,5649401",3
POINT (-75.5533665 6.28064273),2023 Jan 24 12:00:00 AM,Poda de Mantenimiento,104.110.230.349,Platycladus orientalis,"Tuya, pino libro, pino tuya",Medellín,Aranjuez,Las Esmeraldas,Calle 88 N 45-70,"6,28064273","-75,5533665",3
POINT (-75.5650212 6.30736158),2023 Oct 30 12:00:00 AM,Poda de Mantenimiento,105.050.330.107,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Castilla,Boyacá,"calle 112A N 65A-65, en borde calle","6,30736158","-75,5650212",3
POINT (-75.5657574 6.30689318),2023 Nov 23 12:00:00 AM,Poda de Mantenimiento,105.040.000.388,Handroanthus chrysanthus,"Guayacán amarillo, cañaguate, guayacán, chicalá, polvillo",Medellín,Castilla,Tejelo,"Calle 112 N 67-00, en el parque público.","6,30689318","-75,5657574",3
POINT (-75.5638109 6.30688584),2023 Nov 07 12:00:00 AM,Poda de Mantenimiento,105.020.000.280,Lagerstroemia speciosa,"Flor de reina, reina de las flores, astromelia, embrujo de la india, orgullo de la india, flor de la reina",Medellín,Castilla,Las Brisas,Calle 112 N 64D-110,"6,30688584","-75,5638109",3
POINT (-75.5661041 6.30688472),2023 Nov 23 12:00:00 AM,Poda de Mantenimiento,105.040.000.188,Terminalia catappa,"Almendro, almendrón, almendra, almendrillo",Medellín,Castilla,Tejelo,"Calle 111A N 67-00, en el parque infantil.","6,30688472","-75,5661041",3
POINT (-75.5659222 6.30677858),2023 Nov 23 12:00:00 AM,Poda de Mantenimiento,105.040.000.180,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,Castilla,Tejelo,"Calle 111A N 67-00, en el parque infantil.","6,30677858","-75,5659222",3
POINT (-75.5639249 6.30665723),2023 Nov 07 12:00:00 AM,Poda de Mantenimiento,105.050.270.302,Handroanthus chrysanthus,"Guayacán amarillo, cañaguate, guayacán, chicalá, polvillo",Medellín,Castilla,Boyacá,"Carrera 65 N 111B-04, pasando calzada","6,30665723","-75,5639249",3
POINT (-75.5676161 6.30652565),2023 Nov 24 12:00:00 AM,Poda de Mantenimiento,105.040.000.320,Araucaria heterophylla,"Araucaria, Araucaria Real, pino de la isla de Norfolk",Medellín,Castilla,Tejelo,Calle 110 N 68A-05,"6,30652565","-75,5676161",3
POINT (-75.5698843 6.30649479),2023 Jun 09 12:00:00 AM,Poda de Mantenimiento,105.040.080.656,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,Castilla,Tejelo,"Calle 108 N 70-88, al frente en el perímetro de la cancha de arenilla Téjelo.","6,30649479","-75,5698843",3
POINT (-75.5641455 6.30649263),2023 Nov 07 12:00:00 AM,Poda de Mantenimiento,105.050.270.313,Pithecellobium dulce,"Chiminango, payandé, gallinero, acacia tunuda, azabache",Medellín,Castilla,Boyacá,"Calle 111A N 65-15, al frente en zona verde","6,30649263","-75,5641455",3
POINT (-75.56984 6.30648879),2023 Jun 09 12:00:00 AM,Poda de Mantenimiento,105.040.080.655,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,Castilla,Tejelo,"Calle 108 N 70-88, al frente en el perímetro de la cancha de arenilla Téjelo","6,30648879","-75,56984",3
POINT (-75.5640489 6.30643731),2023 Nov 07 12:00:00 AM,Poda de Mantenimiento,105.050.270.307,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Castilla,Boyacá,"Calle 111A N 65-7, al frente en zona verde","6,30643731","-75,5640489",3
POINT (-75.5645023 6.30643144),2023 Nov 07 12:00:00 AM,Poda de Mantenimiento,105.050.000.138,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,Castilla,Boyacá,Calle 111A N 65A-02,"6,30643144","-75,5645023",3
POINT (-75.5605437 6.30617736),2023 Sep 15 12:00:00 AM,Poda de Mantenimiento,105.020.040.280,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,Castilla,Las Brisas,"Carrera 64C N 111A-365, Autopista Norte","6,30617736","-75,5605437",3
POINT (-75.5729586 6.30608434),2023 Jun 12 12:00:00 AM,Poda de Mantenimiento,106.010.211.012,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,Doce de Octubre,Santander,"Carrera 76C N 107, Cancha La Tinajita, borde de cancha sintética.","6,30608434","-75,5729586",3
POINT (-75.5687789 6.30607285),2023 Nov 30 12:00:00 AM,Poda de Mantenimiento,105.040.130.152,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Castilla,Tejelo,Calle 108 N 68A-119,"6,30607285","-75,5687789",3
POINT (-75.573035 6.30607101),2023 Nov 11 12:00:00 AM,Poda de Mantenimiento,106.010.211.010,Zygia longifolia,"Suribio, chíparo, achil, payandé, playero",Medellín,Doce de Octubre,Santander,"carrera 76C N 107, Cancha la tinajita, borde de cancha sintética","6,30607101","-75,573035",3
POINT (-75.5721555 6.30553282),2023 Nov 11 12:00:00 AM,Poda de Mantenimiento,106.010.210.802,Psidium guajava,"Guayabo, guayaba, guayaba común, guayaba dulce, guayaba manzana",Medellín,Doce de Octubre,Santander,"Carrera 76 N 105A, Cancha la tinajita en parque infantil","6,30553282","-75,5721555",3
POINT (-75.5722488 6.30542746),2023 Nov 11 12:00:00 AM,Poda de Mantenimiento,106.010.210.310,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Doce de Octubre,Santander,"Carrera 76 N 104F-18, al frente.","6,30542746","-75,5722488",3
POINT (-75.5728325 6.30527305),2023 Nov 16 12:00:00 AM,Poda de Mantenimiento,106.010.210.999,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,Doce de Octubre,Santander,"Calle 107 N 76B, Cancha la tinajita entre cancha sintética y canchas polideportivas","6,30527305","-75,5728325",3
POINT (-75.5782062 6.3046946),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.020.000.127,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Doce de Octubre,Doce de Octubre No.1,"Calle 104A N 80-12 pasando la calle, al interior del parque público","6,3046946","-75,5782062",3
POINT (-75.5717948 6.30469119),2023 Nov 16 12:00:00 AM,Poda de Mantenimiento,106.040.900.236,Erythrina fusca,"Búcaro, chambul, cachimbo, pisamo",Medellín,Doce de Octubre,Pedregal,Carrera 75 N 105A-20 pasando la calle,"6,30469119","-75,5717948",3
POINT (-75.5781543 6.30466661),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.020.380.101,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Doce de Octubre,Doce de Octubre No.1,"Calle 104A N 80-12 pasando la calle, al interior del parque público","6,30466661","-75,5781543",3
POINT (-75.5785351 6.30453914),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.020.380.182,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Doce de Octubre,Doce de Octubre No.1,Carrera 81 N 104-03 pasando la calle,"6,30453914","-75,5785351",3
POINT (-75.5655839 6.30453551),2023 Aug 03 12:00:00 AM,Poda de Mantenimiento,105.050.110.294,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,Castilla,Boyacá,Calle 108 N 66-03,"6,30453551","-75,5655839",3
POINT (-75.5720678 6.30453322),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.040.900.239,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Doce de Octubre,Pedregal,Carrera 75 N 105A-14 pasando la calle,"6,30453322","-75,5720678",3
POINT (-75.5783675 6.30452698),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.020.000.497,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Doce de Octubre,Doce de Octubre No.1,"Calle 104 N 80-39, pasando la calle","6,30452698","-75,5783675",3
POINT (-75.5783748 6.3044725),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.020.000.496,Punica granatum,"Granada, granado",Medellín,Doce de Octubre,Doce de Octubre No.1,"Calle 104 N 80-45, pasando la calle","6,3044725","-75,5783748",3
POINT (-75.572163 6.30447171),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.040.000.006,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Doce de Octubre,Pedregal,Carrera 75A N 105-29,"6,30447171","-75,572163",3
POINT (-75.5723755 6.30442572),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.040.000.366,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Doce de Octubre,Pedregal,Carrera 75A N 105-19,"6,30442572","-75,5723755",3
POINT (-75.5654943 6.30430532),2023 Nov 21 12:00:00 AM,Poda de Mantenimiento,105.050.110.279,Lafoensia acuminata,"Guayacan manizaleño, Arrayan de Manizales",Medellín,Castilla,Boyacá,"Carrera 64D N 106B-81, costado norte de las canchas de Gratamira","6,30430532","-75,5654943",3
POINT (-75.5711149 6.30427629),2023 Nov 11 12:00:00 AM,Poda de Mantenimiento,106.040.970.081,Persea americana,"Aguacate, cura, curo, palta, palto",Medellín,Doce de Octubre,Pedregal,Calle 106A N 74-56 pasando la calle,"6,30427629","-75,5711149",3
POINT (-75.571127 6.30423897),2023 Nov 11 12:00:00 AM,Poda de Mantenimiento,106.040.970.082,Persea americana,"Aguacate, cura, curo, palta, palto",Medellín,Doce de Octubre,Pedregal,Calle 106A N 74-56 pasando la calle,"6,30423897","-75,571127",3
POINT (-75.5723818 6.30420292),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.041.110.206,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Doce de Octubre,Pedregal,Carrera 75 N 105-26 pasando la calle,"6,30420292","-75,5723818",3
POINT (-75.572863 6.30418045),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.041.110.140,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,Doce de Octubre,Pedregal,Calle 104F N 75-09 pasando la calle,"6,30418045","-75,572863",3
POINT (-75.5654604 6.30416869),2023 Jun 09 12:00:00 AM,Poda de Mantenimiento,105.050.110.300,Bauhinia picta,"Casco de vaca, pata de vaca, pata de buey",Medellín,Castilla,Boyacá,"Calle 105A N 64E-00, Cancha de Voleibol Gratamira","6,30416869","-75,5654604",3
POINT (-75.565616 6.30412758),2023 Nov 21 12:00:00 AM,Poda de Mantenimiento,105.050.110.274,Lafoensia acuminata,"Guayacan manizaleño, Arrayan de Manizales",Medellín,Castilla,Boyacá,"Carrera 64DD entre la Calle 106 y la Calle 106C, en la separación entre las 2 canchas","6,30412758","-75,565616",3
POINT (-75.5727368 6.30411522),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.041.110.200,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,Doce de Octubre,Pedregal,Calle 104F N 75-05 pasando la calle,"6,30411522","-75,5727368",3
POINT (-75.5603159 6.30409155),2023 Nov 29 12:00:00 AM,Poda de Mantenimiento,105.010.060.030,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Castilla,Toscana,Carrera 64AA N 111C-14,"6,30409155","-75,5603159",3
POINT (-75.5780688 6.30399217),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.010.011.099,Cananga odorata,"Cadmio, cadmia, cananga, ilán ilán, ilang ilang, ylang- ylang",Medellín,Doce de Octubre,Santander,"Intersección entre la Calle 104 y la Carrera 80, a un costado del parque biblioteca","6,30399217","-75,5780688",3
POINT (-75.5769602 6.30399042),2023 Nov 08 12:00:00 AM,Poda de Mantenimiento,106.010.011.402,Petrea rugosa,Estrella de Oriente - Petra,Medellín,Doce de Octubre,Santander,"Calle 104B entre la Carrera 80 y la Carrera 77B, Costado oriental de la unidad deportiva Doce de Octubre","6,30399042","-75,5769602",3
POINT (-75.5687364 6.30395897),2023 Jan 05 12:00:00 AM,Poda de Mantenimiento,105.040.000.356,Tabebuia rosea,"Apamate, guayacán rosado, ocobo, roble, guayacán, guayacán morado",Medellín,Castilla,Tejelo,"Calle 106 N 68A-84, Al frente.","6,30395897","-75,5687364",3
POINT (-75.5685444 6.30393696),2023 Jan 05 12:00:00 AM,Poda de Mantenimiento,105.040.000.352,Eucalyptus saligna,Eucalipto,Medellín,Castilla,Tejelo,"Calle 106 N 68A-44, Al frente","6,30393696","-75,5685444",3
POINT (-75.5684767 6.30393563),2023 Jan 05 12:00:00 AM,Poda de Mantenimiento,105.040.000.353,Cordia alliodora,"Nogal, Nogal Cafetero, Moho, Mo, Solera, Vara de Humo",Medellín,Castilla,Tejelo,"Calle 106 N 68A-42, Al frente","6,30393563","-75,5684767",3
POINT (-75.5733484 6.30382363),2023 Nov 15 12:00:00 AM,Poda de Mantenimiento,106.040.760.772,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Doce de Octubre,Pedregal,Carrera 75 N 104D-25 pasando la calle,"6,30382363","-75,5733484",3
POINT (-75.5689107 6.30381075),2023 Jan 05 12:00:00 AM,Poda de Mantenimiento,106.040.000.425,Araucaria heterophylla,"Araucaria, Araucaria Real, pino de la isla de Norfolk",Medellín,Doce de Octubre,Pedregal,Carrera 70 N 105F-19,"6,30381075","-75,5689107",3
POINT (-75.5656665 6.3036637),2023 Nov 21 12:00:00 AM,Poda de Mantenimiento,105.050.110.315,Bauhinia picta,"Casco de vaca, pata de vaca, pata de buey",Medellín,Castilla,Boyacá,"Carrera 64DD entre la Calle 106 y la Calle 106C, costado oriental de las canchas de Gratamira","6,3036637","-75,5656665",3
POINT (-75.5722406 6.30362773),2023 Nov 11 12:00:00 AM,Poda de Mantenimiento,106.040.830.038,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,Doce de Octubre,Pedregal,Carrera 74A N 104F-31,"6,30362773","-75,5722406",3
POINT (-75.5659288 6.30361626),2023 Nov 21 12:00:00 AM,Poda de Mantenimiento,105.050.110.254,Lafoensia acuminata,"Guayacan manizaleño, Arrayan de Manizales",Medellín,Castilla,Boyacá,"Calle 105A N 64E-15 pasando la calle, Costado sur de las canchas de Gratamira","6,30361626","-75,5659288",3
POINT (-75.5726761 6.30361439),2023 Nov 11 12:00:00 AM,Poda de Mantenimiento,106.040.000.436,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Doce de Octubre,Pedregal,Calle 104F N 74A-18 pasando la calle,"6,30361439","-75,5726761",3
POINT (-75.5726835 6.30359639),2023 Nov 11 12:00:00 AM,Poda de Mantenimiento,106.040.761.337,Bauhinia variegata,"Casco de vaca (variegata), árbol orquídea",Medellín,Doce de Octubre,Pedregal,Calle 104F N 74A-18 pasando la calle,"6,30359639","-75,5726835",3
POINT (-75.5727093 6.30358806),2023 Nov 11 12:00:00 AM,Poda de Mantenimiento,106.040.761.283,Cojoba arborea,"Carbonero zorro, cojoba, dormilón",Medellín,Doce de Octubre,Pedregal,Calle 104F N 74A-10 pasando la calle,"6,30358806","-75,5727093",3
POINT (-75.5586354 6.30337356),2023 Nov 29 12:00:00 AM,Poda de Mantenimiento,105.070.000.403,Tabernaemontana litoralis,"Azuceno, cojón de gato, Estremadelio",Medellín,Castilla,Héctor Abad Gómez,Carrera 63B N 110A-00,"6,30337356","-75,5586354",3
POINT (-75.5587702 6.30284236),2023 Nov 29 12:00:00 AM,Poda de Mantenimiento,105.070.000.404,Malpighia glabra,"Huesito, cerezo, cereza, cerezo silvestre, cereza montañera, huesito glabra",Medellín,Castilla,Héctor Abad Gómez,Carrera 63B N 109A-00,"6,30284236","-75,5587702",3
POINT (-75.5725333 6.3027738),2023 May 30 12:00:00 AM,Poda de Mantenimiento,106.040.761.084,Schizolobium parahyba,"Tambor, tambolero, tamborero, frijolillo, arenillas, chingalé tamborero",Medellín,Doce de Octubre,Pedregal,Calle 104E N 74 - 58.,"6,3027738","-75,5725333",3
POINT (-75.5663114 6.30212184),2023 Jan 04 12:00:00 AM,Poda de Mantenimiento,105.050.000.270,Tabernaemontana litoralis,"Azuceno, cojón de gato, Estremadelio",Medellín,Castilla,Boyacá,Carrera 65 N 104A-06,"6,30212184","-75,5663114",3
POINT (-75.5649213 6.30177168),2023 Jan 16 12:00:00 AM,Poda de Mantenimiento,105.090.000.673,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Castilla,Girardot,Calle 104 N 64C-111.,"6,30177168","-75,5649213",3
